age,female,handi,horse_name,rank,weight
5,0,56,カフジテイク,1,484
7,0,58,ベストウォーリア,2,520
5,0,56,エイシンバッケン,3,526
6,0,56,キングズガード,4,458
6,0,57,ニシケンモノノフ,5,514
6,0,56,モンドクラッセ,6,532
8,0,56,ブライトライン,7,532
6,0,56,ラストダンサー,8,446
7,0,57,グレイスフルリープ,9,536
6,0,56,ラブバレット,10,476
5,0,56,ブルミラコロ,11,526
4,0,55,ベストマッチョ,12,490
9,0,58,グレープブランデー,13,524
9,0,56,タールタン,14,504
6,1,56,コーリンベリー,15,504
5,0,57,ノボバカラ,16,518
5,0,55,コクサイクラウン,1,492
6,0,57,リキサンパワー,2,560
5,1,53,マキノハタ,3,500
5,1,53,シャコーミキスキー,4,478
5,1,56,ユキノローズ,5,456
4,1,52,メインディッシュ,6,420
4,0,53,カシワクラフト,7,464
4,0,54,ハセムテキ,8,466
4,1,51,グレースシラオキ,1,476
5,0,55,タイガールイス,2,448
5,1,53,トムロイヤル,3,484
5,0,55,ウィニングスマイル,4,434
6,1,54,ユキノローズ,5,460
4,1,51,ウインホイッスル,6,474
4,0,53,ガルダンサー,7,500
4,1,51,オンステージ,8,466
4,0,53,サクラジェイド,9,446
7,0,56,ハツノアモイ,10,484
4,1,52,シービーグレース,11,432
6,1,55,ラブシックブルース,12,460
6,0,55,ドウカンテスコ,13,496
6,0,55,ウィニングスマイル,1,434
5,1,54,ツクバセイフウ,2,488
4,0,54,ダイワダグラス,3,476
6,1,53,オールスピリット,4,500
5,0,56,シクレノンセラビー,5,482
4,0,53,アサカローマン,6,484
6,0,55,タイガールイス,7,456
6,0,55,ダイナサプライズ,8,508
7,0,56,メディアシロー,9,500
5,1,54,ダイナアルテミス,10,450
4,0,53,ミヨノスピード,11,460
8,0,55,ペシャワール,12,514
4,0,54,アイビートウコウ,13,438
6,0,58,ダイナレター,1,440
6,1,53,ツクバセイフウ,2,500
6,0,56,レインボーアカサカ,3,490
6,0,56,ソダカザン,4,522
6,0,55,インターシオカゼ,5,540
6,0,55,シクレノンセラビー,6,482
4,1,51,シャルドン,7,418
6,1,53,ハーバーシルビア,8,468
5,0,56,ダンシングサム,9,466
4,0,54,アサカアルコオー,10,502
4,1,51,クリダリア,11,410
7,0,57,コバノリッチ,12,482
5,1,54,パッシングショット,13,460
6,0,57,モガミヤシマ,14,508
7,0,55,エーコートランス,1,470
7,0,55,インターシオカゼ,2,530
5,0,56,ベストセーリング,3,482
6,0,55,アクロスザシー,4,446
4,1,51,ブランドピート,5,474
6,0,55,ヒシノスープラ,6,466
6,0,56,ダンシングサム,7,472
7,0,56,ソダカザン,8,514
6,0,55,ダイワダグラス,9,484
7,0,57,ミリオンセンプー,10,448
6,0,55,ミスターアスカ,11,516
4,1,51,ハントウイッシュ,12,454
